,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
339,340,Lion Zacharias,RNL,Left Wing,3,,2,2,100.00 %,2020/21
340,341,Dario Quenstedt,THW,Goalkeeper,37,,1,1,100.00 %,2020/21
341,342,Daniel Fontaine,BHC,Left Back,12,,1,6,16.67 %,2020/21
342,343,Martin Ziemer,HCE,Goalkeeper,38,,1,2,50.00 %,2020/21
343,344,Stefan Lex,HCE,Right Back,7,,1,6,16.67 %,2020/21
344,345,Björn Buhrmester,NOL,Goalkeeper,38,,1,2,50.00 %,2020/21
345,346,Finn Zecher,TBV,Goalkeeper,19,,1,2,50.00 %,2020/21
346,347,Fredrik Genz,BER,Goalkeeper,38,,1,1,100.00 %,2020/21
347,348,Jacob Heinl,SGF,Pivot,11,,1,1,100.00 %,2020/21
348,349,Linus Geis,TBV,Left Back,31,,1,5,20.00 %,2020/21
349,350,Urban Lesjak,HAN,Goalkeeper,37,,1,4,25.00 %,2020/21
350,351,Mario Ruminsky,HBW,Goalkeeper,38,,1,1,100.00 %,2020/21
351,352,Benedikt Damm,LUD,Pivot,5,,1,2,50.00 %,2020/21
352,353,Michel Reitemann,TBV,unknown,2,,1,1,100.00 %,2020/21
353,354,David Späth,RNL,Goalkeeper,26,,1,1,100.00 %,2020/21
354,355,Justus Fischer,HAN,Pivot,14,,1,1,100.00 %,2020/21
355,356,Niclas Benedict Heitkamp,LEI,Centre Back,7,,1,1,100.00 %,2020/21
356,357,Paul Holzhacker,GWD,unknown,6,,1,1,100.00 %,2020/21
357,358,Julian Fuchs,MTM,Right Wing,5,,1,2,50.00 %,2020/21
358,359,Robin Heinis,BER,unknown,5,,1,1,100.00 %,2020/21
359,360,Elias Gansau,LEI,unknown,13,,1,5,20.00 %,2020/21
360,361,Felix Backhaus,SGF,Goalkeeper,7,,0,0,,2020/21
361,362,Benjamin Burić,SGF,Goalkeeper,28,,0,2,0.00 %,2020/21
362,363,Silvio Heinevetter,MTM,Goalkeeper,38,,0,0,,2020/21
363,364,Mikael Appelgren,RNL,unknown,1,,,,,2020/21
364,365,Jannick Green Krejberg,SCM,Goalkeeper,35,,0,0,,2020/21
365,366,Mark Bult,SGF,Right Back,2,,,,,2020/21
366,367,Mattias Andersson,THW,Goalkeeper,8,,0,0,,2020/21
367,368,Nikolas Katsigiannis,RNL,Goalkeeper,29,,0,0,,2020/21
368,369,Carsten Lichtlein,GWD,Goalkeeper,38,,0,1,0.00 %,2020/21
369,370,Mark van den Beucken,TBV,Goalkeeper,20,,0,0,,2020/21
370,371,Jari Lemke,TBV,Left Back,1,,,,,2020/21
371,372,Joel Birlehm,LEI,Goalkeeper,38,,0,1,0.00 %,2020/21
372,373,Daniel Rebmann,FAG,Goalkeeper,38,,0,0,,2020/21
373,374,Primož Prošt,TVB,Goalkeeper,38,,0,0,,2020/21
374,375,Milos Putera,LEI,Goalkeeper,7,,0,1,0.00 %,2020/21
375,376,Philipp Müller,LEI,Left Back,8,,0,0,,2020/21
376,377,Jan Kulhanek,COB,Goalkeeper,37,,0,0,,2020/21
377,378,Johannes Bitter,TVB,Goalkeeper,24,,0,0,,2020/21
378,379,Niklas Landin Jacobsen,THW,Goalkeeper,31,,0,1,0.00 %,2020/21
379,380,Sebastian Bliß,TUE,Goalkeeper,38,,0,0,,2020/21
380,381,Matthias Ritschel,HCE,Goalkeeper,2,,0,0,,2020/21
381,382,Jannik Hofmann,LUD,Left Wing,5,,,,,2020/21
382,383,Frederik Simak,BER,Left Back,3,,,,,2020/21
383,384,Jonas Hönicke,LEI,Centre Back,2,,0,1,0.00 %,2020/21
384,385,Nebojsa Simic,MTM,Goalkeeper,38,,0,1,0.00 %,2020/21
385,386,Gorazd Škof,LUD,Goalkeeper,38,,0,0,,2020/21
386,387,Arne Fuchs,TUE,Goalkeeper,13,,0,0,,2020/21
387,388,Vladimir Bozic,HBW,Goalkeeper,21,,0,0,,2020/21
388,389,Janis Boieck,HCE,Goalkeeper,16,,0,0,,2020/21
389,390,Henning Fritz,SGF,Goalkeeper,8,,0,0,,2020/21
390,391,Nick Lehmann,TVB,Goalkeeper,8,,0,0,,2020/21
391,392,Christian Ole Simonsen,LEI,Goalkeeper,4,,0,0,,2020/21
392,393,Sebastian Rica-Kovac,TVB,Goalkeeper,4,,0,0,,2020/21
393,394,Jan Bitzer,HBW,Centre Back,3,,,,,2020/21
394,395,Leon Hoblaj,LUD,Goalkeeper,15,,0,0,,2020/21
395,396,Tim Brand,GWD,Centre Back,10,,0,0,,2020/21
396,397,Fabian Apfel,COB,Goalkeeper,11,,0,0,,2020/21
397,398,Tibor Ivanisevic,WET,Goalkeeper,38,,0,1,0.00 %,2020/21
398,399,Ian Weber,WET,Centre Back,1,,,,,2020/21
399,400,Ilija Abutovic,RNL,Left Back,27,,0,0,,2020/21
400,401,Torbjørn Bergerud,SGF,Goalkeeper,38,,0,1,0.00 %,2020/21
401,402,Christopher Wolf,TUE,Left Back,8,,0,0,,2020/21
402,403,Jona Alexander Reidegeld,TUE,unknown,1,,,,,2020/21
403,404,Christos Erifopoulos,FAG,Centre Back,3,,0,1,0.00 %,2020/21
404,405,Luis Plymford Foege,TVB,Right Back,4,,0,0,,2020/21
405,406,Paul Dreyer,COB,Goalkeeper,9,,0,0,,2020/21
406,407,Nicolas Neumann,LEI,Left Wing,9,,0,2,0.00 %,2020/21
407,408,Felix Wernlein,HAN,Goalkeeper,1,,,,,2020/21
408,409,Leon Grabenstein,GWD,Goalkeeper,1,,,,,2020/21
409,410,Joonas Klama,BHC,Goalkeeper,2,,0,0,,2020/21
410,411,Finn Hummel,TVB,Goalkeeper,2,,0,0,,2020/21
411,412,Jonas Molz,GWD,Left Back,2,,,,,2020/21
412,413,Martin Tomovski,LUD,Goalkeeper,37,,0,2,0.00 %,2020/21
413,414,Mike Jensen,HBW,Goalkeeper,38,,0,1,0.00 %,2020/21
414,415,Tobias Thulin,SCM,Goalkeeper,38,,0,0,,2020/21
415,416,Anadin Suljakovic,WET,Goalkeeper,12,,0,0,,2020/21
416,417,Ákos Széles,LEI,unknown,7,,0,0,,2020/21
417,418,Lasse Ludwig,BER,Goalkeeper,2,,0,0,,2020/21
418,419,Jonas Leppich,BHC,Pivot,2,,,,,2020/21
419,420,Timon Mühlenstädt,TBV,Goalkeeper,1,,0,0,,2020/21
420,421,Kristian Sæverås,LEI,Goalkeeper,34,,0,0,,2020/21
421,422,Klemen Ferlin,HCE,Goalkeeper,22,,0,2,0.00 %,2020/21
422,423,Philip Saggau,THW,unknown,4,,0,0,,2020/21
423,424,Philipp Wäger,THW,unknown,8,,0,1,0.00 %,2020/21
424,425,Janik Patzwaldt,SCM,unknown,2,,0,0,,2020/21
425,426,Leon Kirschberger,SGF,unknown,1,,,,,2020/21
426,427,Mika Laurin Sajenev,LEI,unknown,1,,,,,2020/21
427,428,Niko Blaauw,TBV,unknown,9,,0,2,0.00 %,2020/21
428,429,Maximilian Hejny,FAG,unknown,4,,,,,2020/21
429,430,Sergey Gorpishin,LUD,unknown,3,,0,1,0.00 %,2020/21
430,431,Jesper Schmidt,THW,unknown,2,,,,,2020/21
431,432,Marcel Nowak,BER,unknown,5,,0,1,0.00 %,2020/21
432,433,Alexej Demerza,GWD,unknown,1,,,,,2020/21
433,434,Nils Lichtlein,BER,Centre Back,5,,0,2,0.00 %,2020/21
434,435,Thore Oetjen,TBV,unknown,2,,,,,2020/21
435,436,Jakob Kassing,COB,unknown,7,,,,,2020/21
436,437,David Kuntscher,MTM,unknown,4,,,,,2020/21
437,438,Maxim Orlov,BER,Left Back,3,,,,,2020/21
438,439,Joshua Scheiner,TVB,unknown,1,,,,,2020/21
439,440,Koray Ayar,HAN,unknown,2,,0,1,0.00 %,2020/21
440,441,Maximilian Hollstein,TBV,unknown,1,,,,,2020/21
441,442,Christian Herz,TBV,unknown,1,,,,,2020/21
442,443,Julian Buchele,FAG,Goalkeeper,1,,,,,2020/21
443,444,Sebastian Trost,RNL,unknown,3,,,,,2020/21
444,445,Niclas Behrendt,SCM,unknown,5,,0,0,,2020/21
445,446,Luca Hopfmann,LEI,unknown,5,,,,,2020/21
446,447,Mats Grupe,RNL,unknown,1,,0,0,,2020/21
447,448,Dominik Eckart,LEI,unknown,1,,,,,2020/21
448,449,Yannik Wissmann,TVB,unknown,1,,,,,2020/21
449,450,Hark Hansen,TBV,Right Back,2,,,,,2020/21
450,451,Finn Eberle,TVB,unknown,1,,,,,2020/21
