,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
339,340,Torge Wloch,HSV,Pivot,2,,0,0,,2024/25
340,341,Collin Jordan Kohlhof,HSV,Left Back,3,,0,0,,2024/25
341,342,Mykola Protsiuk,GUM,unknown,12,,0,2,0.00 %,2024/25
342,343,Jeron Busch,LEI,Pivot,1,,,,,2024/25
343,344,Thorge Lutze,HAN,Left Back,1,,,,,2024/25
344,345,Marius Göbner,WET,Goalkeeper,6,,0,0,,2024/25
345,346,Leonard Zink,HAN,Right Back,2,,,,,2024/25
346,347,Lasse Andresen,HAN,Goalkeeper,2,,,,,2024/25
347,348,Ralfs Geislers,TBV,Centre Back,6,,0,5,0.00 %,2024/25
348,349,Renke Rohrweber,HAN,Right Wing,1,,,,,2024/25
349,350,Robin Paulsen Haug,HSV,Goalkeeper,32,,0,0,,2024/25
350,351,Leon Nowottny,THW,Goalkeeper,1,,0,0,,2024/25
351,352,Johannes Thiel,HAN,Right Back,5,,0,0,,2024/25
352,353,Niklas Döbbel,SCM,Right Back,1,,,,,2024/25
353,354,Ilian Geweiler,POT,Left Wing,5,,0,0,,2024/25
354,355,Ben Levermann,HSV,Left Back,14,,0,3,0.00 %,2024/25
355,356,Torben Hübke,TBV,Pivot,1,,,,,2024/25
356,357,Silvio Heinevetter,EIS,Goalkeeper,33,,0,0,,2024/25
357,358,Paul Drux,BER,Left Back,3,,,,,2024/25
358,359,Mikael Appelgren,RNL,unknown,33,,0,0,,2024/25
359,360,Carsten Lichtlein,MTM,Goalkeeper,8,,0,0,,2024/25
360,361,Daniel Rebmann,SGB,Goalkeeper,30,,0,1,0.00 %,2024/25
361,362,Johannes Bitter,HSV,unknown,5,,0,0,,2024/25
362,363,Alexander Bischoff,TVB,Pivot,1,,,,,2024/25
363,364,Andreas Wolff,THW,Goalkeeper,34,,0,0,,2024/25
364,365,Cedric Mayer,RNL,Right Wing,1,,,,,2024/25
365,366,Benedikt Starkloff,TVB,Goalkeeper,1,,0,0,,2024/25
366,367,Luca-Benjamin Thiel,BER,Right Wing,1,,,,,2024/25
367,368,Domenico Ebner,LEI,Goalkeeper,32,,0,0,,2024/25
368,369,Finn Zecher,HCE,unknown,12,,0,0,,2024/25
369,370,Emil Fiedler,POT,Left Wing,4,,,,,2024/25
370,371,Dave Hörnig,RNL,Goalkeeper,1,,0,0,,2024/25
371,372,Noah Hensen,SCM,Left Back,4,,,,,2024/25
372,373,Khalifa Ghedbane,HCE,Goalkeeper,22,,0,1,0.00 %,2024/25
373,374,Jerry Tollbring,BER,unknown,7,,,,,2024/25
374,375,Patrick Kiesewalter,GUM,Left Back,2,,0,0,,2024/25
375,376,Maximilian Botta,HSV,Pivot,4,,,,,2024/25
376,377,Jan-Luca Mauch,TVB,Right Back,2,,,,,2024/25
377,378,Mark Ferjan,POT,Goalkeeper,26,,0,0,,2024/25
378,379,Florian Budde,BER,Right Back,1,,,,,2024/25
379,380,Christian Schmid,FAG,Centre Back,1,,,,,2024/25
380,381,Lucas Mohr,BER,Left Back,2,,0,0,,2024/25
381,382,Finn Knaack,HSV,Goalkeeper,4,,0,0,,2024/25
382,383,Leopold Huber,LEI,Goalkeeper,2,,0,0,,2024/25
383,384,Christian Trabert,EIS,Goalkeeper,1,,,,,2024/25
384,385,Jason Wilfer,MTM,Pivot,2,,,,,2024/25
385,386,Catalin Haidu,SGF,Goalkeeper,7,,0,0,,2024/25
386,387,Tom Kiesler,GUM,Left Back,3,,0,0,,2024/25
387,388,Jannes Westphal,POT,Right Wing,3,,,,,2024/25
388,389,Urh Kastelic,TBV,Goalkeeper,33,,0,3,0.00 %,2024/25
389,390,Nils Müller,HSV,Centre Back,1,,,,,2024/25
390,391,Anadin Suljakovic,WET,Goalkeeper,34,,0,1,0.00 %,2024/25
391,392,Lennart Karrenbauer,RNL,Centre Back,11,,0,0,,2024/25
392,393,Lukas Frank,HCE,Pivot,1,,,,,2024/25
393,394,Jona Bader,SGB,Right Wing,1,,,,,2024/25
394,395,Klemen Ferlin,HCE,unknown,11,,0,1,0.00 %,2024/25
395,396,Mohamed Essam Moustafa El-Tayar,HSV,Goalkeeper,29,,0,0,,2024/25
396,397,Anton Voß,LEI,Right Wing,4,,0,0,,2024/25
397,398,Shane Kerber,HSV,Right Wing,1,,,,,2024/25
398,399,Pawel Krawczyk,MTM,Goalkeeper,1,,0,0,,2024/25
399,400,Jarnes Faust,TBV,Left Wing,1,,,,,2024/25
400,401,Alon Oberman,TVB,Left Wing,17,,0,2,0.00 %,2024/25
401,402,Elie Ona,BER,Goalkeeper,1,,0,0,,2024/25
402,403,Filip Baranasic,SGB,Goalkeeper,10,,0,0,,2024/25
403,404,Adam Nyfjäll,HAN,Pivot,9,,,,,2024/25
404,405,Bertram Obling,GUM,Goalkeeper,34,,0,0,,2024/25
405,406,Jonas Truchanovicius,TVB,Left Back,1,,0,0,,2024/25
406,407,Luca Tschentscher,TVB,Goalkeeper,5,,0,0,,2024/25
