,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
300,301,Mikael Appelgren,RNL,unknown,29,,2,2,100.00 %,2022/23
301,302,Dario Quenstedt,HAN,Goalkeeper,32,,2,3,66.67 %,2022/23
302,303,Kevin Møller,SGF,Goalkeeper,31,,2,3,66.67 %,2022/23
303,304,Tomas Mrkva,THW,Goalkeeper,34,,2,3,66.67 %,2022/23
304,305,Sebastian Heymann,FAG,Left Back,9,,2,6,33.33 %,2022/23
305,306,Jens Vortmann,HSV,Goalkeeper,15,,2,3,66.67 %,2022/23
306,307,Piotr Chrapkowski,SCM,Left Back,34,,2,4,50.00 %,2022/23
307,308,Nebojsa Simic,MTM,Goalkeeper,34,,2,4,50.00 %,2022/23
308,309,Domenico Ebner,HAN,Goalkeeper,34,,2,4,50.00 %,2022/23
309,310,Nils Röller,FAG,Pivot,10,,2,3,66.67 %,2022/23
310,311,Klemen Ferlin,HCE,Goalkeeper,34,,2,2,100.00 %,2022/23
311,312,Miljan Vujovic,TVB,Goalkeeper,33,,2,5,40.00 %,2022/23
312,313,Staffan Peter,LEI,Right Wing,2,,2,2,100.00 %,2022/23
313,314,Luca Alexander Schwormstede,THW,Left Back,13,,2,2,100.00 %,2022/23
314,315,Ben Connar Battermann,THW,Left Back,5,,2,2,100.00 %,2022/23
315,316,Marin Sego,FAG,Goalkeeper,34,,2,3,66.67 %,2022/23
316,317,Paul Lukas Hein,GWD,Centre Back,14,,2,4,50.00 %,2022/23
317,318,Niko Bratzke,ASV,Centre Back,6,,2,3,66.67 %,2022/23
318,319,Jorit Reshöft,GWD,Centre Back,2,,1,2,50.00 %,2022/23
319,320,Lasse Ohl,MTM,Pivot,10,,1,2,50.00 %,2022/23
320,321,Fabian Schwarzer,RNL,Right Wing,3,,1,2,50.00 %,2022/23
321,322,Gil Kunkel,GWD,Right Wing,2,,1,1,100.00 %,2022/23
322,323,Alexander Hartwig,HSV,Left Wing,4,,1,1,100.00 %,2022/23
323,324,Aaron Exner,BHC,Centre Back,1,,1,1,100.00 %,2022/23
324,325,Magnus Grupe,RNL,unknown,3,,1,3,33.33 %,2022/23
325,326,Jan Malte Diekmann,GWD,Right Wing,1,,1,4,25.00 %,2022/23
326,327,Tim Goßner,FAG,Right Wing,1,,1,3,33.33 %,2022/23
327,328,Hendrik Hanemann,LEI,Pivot,2,,1,1,100.00 %,2022/23
328,329,Till Klimpke,WET,Goalkeeper,33,,1,3,33.33 %,2022/23
329,330,Silvio Heinevetter,TVB,Goalkeeper,33,,1,2,50.00 %,2022/23
