,Rank,Player,Team,Position,Games,Statistics,Goals ⇵,Shots ⇵,Shooting Accuracy ⇵,Season
341,342,Axel Goller,FAG,Right Wing,2,,0,1,0.00 %,2019/20
342,343,Mario Ruminsky,HBW,Goalkeeper,6,,0,0,,2019/20
343,344,Bastien Genty,BER,Right Wing,2,,,,,2019/20
344,345,Miro Schluroff,BER,Left Back,1,,,,,2019/20
345,346,Can Adanir,RNL,Goalkeeper,1,,0,0,,2019/20
346,347,Jona Gruber,MTM,Centre Back,1,,,,,2019/20
347,348,Luis Plymford Foege,TVB,Right Back,2,,,,,2019/20
348,349,Julius Meyer-Siebert,LEI,Left Back,1,,,,,2019/20
349,350,Philipp Ahouansou,RNL,Left Back,1,,,,,2019/20
350,351,Leon Grabenstein,GWD,Goalkeeper,5,,0,0,,2019/20
351,352,Felix Zeiler,FAG,Centre Back,2,,,,,2019/20
352,353,Joonas Klama,BHC,Goalkeeper,4,,,,,2019/20
353,354,Finn Hummel,TVB,Goalkeeper,5,,0,0,,2019/20
354,355,Jonas Molz,GWD,Left Back,2,,,,,2019/20
355,356,Martin Tomovski,LUD,Goalkeeper,27,,0,0,,2019/20
356,357,Tobias Thulin,SCM,Goalkeeper,27,,0,0,,2019/20
357,358,Anadin Suljakovic,WET,Goalkeeper,7,,0,0,,2019/20
358,359,Sven Ehrig,THW,Right Wing,3,,,,,2019/20
359,360,Alexander Schulze,TVB,Left Wing,1,,0,2,0.00 %,2019/20
360,361,Jörn Persson,SGF,Centre Back,1,,,,,2019/20
361,362,Andreas Maier,TVB,Left Wing,4,,,,,2019/20
362,363,Jannis Schneibel,RNL,Centre Back,2,,,,,2019/20
363,364,Fynn-Luca Nicolaus,TVB,Pivot,4,,,,,2019/20
364,365,Stefan Bauer,HCE,Left Back,3,,,,,2019/20
365,366,Mikkel Ebeling,SGF,Left Wing,6,,,,,2019/20
366,367,Sergi Ala Sanchez,BER,Right Wing,1,,0,1,0.00 %,2019/20
367,368,Glenn-Louis Eggert,MTM,Goalkeeper,2,,0,0,,2019/20
368,369,Florian Kranzmann,GWD,Left Wing,2,,0,1,0.00 %,2019/20
369,370,Lasse Ludwig,BER,Goalkeeper,1,,,,,2019/20
370,371,Niklas Gierse,RNL,Goalkeeper,3,,,,,2019/20
371,372,Sören Hartwich,SGF,unknown,3,,,,,2019/20
372,373,Benedikt Damm,RNL,Pivot,1,,,,,2019/20
